Symbol,Series,Date,Prev Close,Open,High,Low,Last Price,Close,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
TCS,EQ,10/9/2017,2446.65,2441.05,2467.95,2441.05,2449.1,2454.1,2457.72,886808,2179528945,30973,714603,80.58
TCS,EQ,10/10/2017,2454.1,2455,2469.95,2451.25,2453.4,2459.25,2459.75,611005,1502919509,32806,477108,78.09
TCS,EQ,10/11/2017,2459.25,2460,2514.45,2456.75,2500,2500.35,2494.35,763873,1905365312,39551,473024,61.92
TCS,EQ,10/12/2017,2500.35,2513,2555,2507,2546.9,2548.2,2529.48,2503178,6331734421,55773,1654922,66.11
TCS,EQ,10/13/2017,2548.2,2548.2,2608.95,2523,2559.75,2558.6,2562.16,2033160,5209287767,83968,623802,30.68
TCS,EQ,10/16/2017,2558.6,2555.05,2590,2555.05,2587,2584.4,2577.86,609295,1570677295,50285,381873,62.67
TCS,EQ,10/17/2017,2584.4,2585,2614.95,2577.55,2594.6,2594.55,2598.37,721508,1874743481,33284,421119,58.37
TCS,EQ,10/18/2017,2594.55,2595,2613.65,2580,2592,2586.6,2588.24,757072,1959481782,27424,556509,73.51
TCS,EQ,10/19/2017,2586.6,2592,2595.8,2571,2583.4,2583.9,2581.96,43411,112085629.9,2351,13869,31.95
TCS,EQ,10/23/2017,2583.9,2584,2629,2547.45,2590,2587.9,2599.06,943044,2451028659,58735,720214,76.37
TCS,EQ,10/24/2017,2587.9,2620,2620.9,2569.05,2575,2578.4,2581.12,669510,1728088703,44454,495808,74.06
TCS,EQ,10/25/2017,2578.4,2578.5,2614,2555,2560,2559.9,2580.66,552553,1425951633,38719,362115,65.53
TCS,EQ,10/26/2017,2559.9,2535.1,2569.15,2517.9,2531.7,2538.85,2541.16,1503776,3821328695,52192,1032027,68.63
TCS,EQ,10/27/2017,2538.85,2538,2593.15,2530.3,2580,2584.3,2567.39,704635,1809074619,34346,505106,71.68
TCS,EQ,10/30/2017,2584.3,2586,2620,2581.7,2615.1,2616.2,2606.79,568626,1482289818,21542,350603,61.66
TCS,EQ,10/31/2017,2616.2,2601.3,2640,2601.3,2618.75,2624,2627.82,796317,2092579457,45128,558622,70.15
TCS,EQ,11/1/2017,2624,2624,2626.85,2578.85,2607.75,2602.85,2593.88,370941,962175485.8,28138,196048,52.85
TCS,EQ,11/2/2017,2602.85,2608.5,2674,2606.75,2623.05,2626.15,2639.78,734211,1938158859,29980,406095,55.31
TCS,EQ,11/3/2017,2626.15,2632.4,2636.7,2602.8,2622,2620.1,2619.76,333443,873540922.1,29606,214694,64.39
TCS,EQ,11/6/2017,2620.1,2620,2671.8,2611.75,2660.15,2665.55,2641.62,688500,1818752069,61866,527626,76.63
TCS,EQ,11/7/2017,2665.55,2670,2768,2666.05,2710,2710.05,2718.44,1348446,3665665142,61294,584060,43.31
TCS,EQ,11/8/2017,2710.05,2723,2759,2718.25,2737,2735,2741.21,701126,1921934581,48744,444618,63.41
TCS,EQ,11/9/2017,2735,2750,2750,2719.3,2740,2736.4,2732.42,576216,1574462790,27786,370073,64.22
TCS,EQ,11/10/2017,2736.4,2722.2,2726,2693.35,2710,2708.75,2706.84,678283,1836006501,22485,456167,67.25
TCS,EQ,11/13/2017,2708.75,2702.05,2777.4,2702.05,2756.55,2758.95,2757.27,748498,2063808990,44504,379983,50.77
TCS,EQ,11/14/2017,2758.95,2756.55,2756.55,2707.5,2710,2714.6,2718.61,828626,2252715047,50733,554011,66.86
TCS,EQ,11/15/2017,2714.6,2706,2755,2701.35,2710,2705.3,2736.73,3335417,9128129059,47448,2841173,85.18
TCS,EQ,11/16/2017,2705.3,2710,2763,2686.95,2739.9,2746.65,2734,826741,2260313403,45075,380359,46.01
TCS,EQ,11/17/2017,2746.65,2748.1,2748.1,2703.6,2708.2,2707.3,2719.89,662732,1802558457,34043,411909,62.15
TCS,EQ,11/20/2017,2707.3,2715,2726.9,2695.3,2697.9,2703.45,2709.98,507249,1374632868,27013,360469,71.06
TCS,EQ,11/21/2017,2703.45,2701,2701,2666,2670.25,2672.95,2678.52,763870,2046044819,38552,527247,69.02
TCS,EQ,11/22/2017,2672.95,2673,2709.7,2672.4,2681.4,2680.65,2690.88,911312,2452235277,67085,612065,67.16
TCS,EQ,11/23/2017,2680.65,2681,2693,2669,2676.55,2681.25,2684.25,396735,1064937718,31522,189438,47.75
TCS,EQ,11/24/2017,2681.25,2682,2702.9,2673.1,2688.2,2688.05,2688.26,1143756,3074710399,47991,936777,81.9
TCS,EQ,11/27/2017,2688.05,2688,2695.9,2662.2,2683.05,2685.85,2678.65,928393,2486839610,40042,725134,78.11
TCS,EQ,11/28/2017,2685.85,2686,2702.4,2670,2681.05,2685.3,2679.22,455858,1221342324,29742,298928,65.57
TCS,EQ,11/29/2017,2685.3,2677.5,2693,2650,2653.65,2658.15,2674.7,723766,1935855718,41795,531968,73.5
TCS,EQ,11/30/2017,2658.15,2653.65,2666.95,2623,2635,2637,2641.37,2149981,5678900013,86807,1464976,68.14
TCS,EQ,12/1/2017,2637,2635,2668,2621.5,2630,2629.95,2647.75,515572,1365104151,37693,285458,55.37
